ID,Nombre,Categoría,Descripción,Precio,Stock,Peso (kg),Proveedor,Fecha de Ingreso,Descuento (%)
272,Producto 160,Deportes,Descripción del producto 272,868.33,416,28.47,Proveedor C,2024-02-01,31.56
273,Producto 482,Deportes,Descripción del producto 273,822.56,354,26.64,Proveedor D,2023-10-11,38.68
274,Producto 410,Hogar,Descripción del producto 274,694.31,235,18.5,Proveedor C,2023-09-08,25.17
275,Producto 446,Hogar,Descripción del producto 275,815.9,200,14.56,Proveedor D,2022-03-21,12.79
276,Producto 437,Moda,Descripción del producto 276,158.31,163,12.8,Proveedor C,2022-10-01,33.49
277,Producto 451,Moda,Descripción del producto 277,932.78,99,35.06,Proveedor D,2023-04-13,7.02
278,Producto 307,Moda,Descripción del producto 278,568.01,454,21.08,Proveedor B,2023-07-12,17.04
279,Producto 7,Electrónica,Descripción del producto 279,595.45,49,27.82,Proveedor D,2023-09-22,47.04
280,Producto 371,Moda,Descripción del producto 280,627.64,378,8.0,Proveedor A,2023-06-09,48.96
281,Producto 269,Hogar,Descripción del producto 281,143.93,494,33.84,Proveedor D,2023-05-13,4.14
282,Producto 266,Hogar,Descripción del producto 282,889.52,433,36.19,Proveedor B,2024-02-13,29.53
283,Producto 340,Hogar,Descripción del producto 283,682.89,436,24.7,Proveedor A,2020-11-13,39.57
284,Producto 246,Deportes,Descripción del producto 284,433.15,190,45.3,Proveedor A,2022-03-05,36.71
285,Producto 486,Moda,Descripción del producto 285,537.98,191,9.97,Proveedor B,2022-01-05,29.25
286,Producto 7,Moda,Descripción del producto 286,448.42,177,40.85,Proveedor A,2021-02-19,19.01
287,Producto 21,Electrónica,Descripción del producto 287,28.42,374,35.13,Proveedor A,2024-12-12,48.08
288,Producto 51,Deportes,Descripción del producto 288,53.65,231,18.44,Proveedor A,2023-04-01,12.56
289,Producto 499,Juguetería,Descripción del producto 289,651.02,72,48.96,Proveedor B,2021-02-19,41.44
290,Producto 287,Hogar,Descripción del producto 290,457.51,360,7.37,Proveedor B,2022-09-11,28.28
291,Producto 62,Deportes,Descripción del producto 291,207.64,388,4.02,Proveedor A,2024-10-27,15.63
292,Producto 454,Moda,Descripción del producto 292,47.23,196,14.97,Proveedor B,2023-05-10,46.69
293,Producto 413,Electrónica,Descripción del producto 293,511.84,15,4.69,Proveedor B,2024-03-13,41.64
294,Producto 143,Hogar,Descripción del producto 294,36.59,49,46.99,Proveedor D,2024-06-03,35.71
295,Producto 41,Deportes,Descripción del producto 295,687.69,24,49.93,Proveedor C,2023-12-02,34.97
296,Producto 420,Juguetería,Descripción del producto 296,40.96,15,3.9,Proveedor B,2021-10-17,18.77
297,Producto 358,Hogar,Descripción del producto 297,764.52,264,28.13,Proveedor C,2020-03-27,27.88
298,Producto 247,Moda,Descripción del producto 298,89.02,371,28.66,Proveedor C,2020-11-13,45.96
299,Producto 25,Electrónica,Descripción del producto 299,238.15,498,20.38,Proveedor C,2023-06-09,21.05
300,Producto 330,Electrónica,Descripción del producto 300,584.09,140,15.66,Proveedor B,2024-07-12,10.65
301,Producto 452,Deportes,Descripción del producto 301,171.05,267,30.28,Proveedor A,2024-11-12,29.3
302,Producto 62,Moda,Descripción del producto 302,667.2,428,47.87,Proveedor A,2024-05-21,41.58
303,Producto 426,Juguetería,Descripción del producto 303,358.95,70,26.63,Proveedor C,2023-06-17,47.76
304,Producto 354,Juguetería,Descripción del producto 304,690.75,270,27.79,Proveedor A,2022-11-12,20.84
305,Producto 403,Hogar,Descripción del producto 305,889.19,477,15.13,Proveedor C,2022-07-25,1.86
306,Producto 398,Moda,Descripción del producto 306,32.04,204,48.23,Proveedor A,2020-12-12,33.88
307,Producto 94,Hogar,Descripción del producto 307,573.64,455,17.28,Proveedor D,2023-01-10,42.85
308,Producto 455,Juguetería,Descripción del producto 308,335.73,454,14.6,Proveedor A,2020-02-02,7.98
309,Producto 484,Hogar,Descripción del producto 309,175.52,132,33.51,Proveedor C,2022-05-18,22.03
310,Producto 302,Moda,Descripción del producto 310,962.2,40,36.77,Proveedor A,2024-07-20,27.25
311,Producto 168,Moda,Descripción del producto 311,557.67,255,26.7,Proveedor A,2024-10-04,49.56
312,Producto 225,Juguetería,Descripción del producto 312,946.99,340,8.04,Proveedor A,2024-01-25,11.41
313,Producto 471,Electrónica,Descripción del producto 313,586.24,406,33.18,Proveedor B,2022-09-26,42.59
314,Producto 4,Hogar,Descripción del producto 314,553.56,281,29.96,Proveedor A,2021-08-26,42.71
315,Producto 261,Juguetería,Descripción del producto 315,117.64,180,33.85,Proveedor B,2021-04-10,41.27
316,Producto 138,Hogar,Descripción del producto 316,441.72,472,43.83,Proveedor D,2023-04-07,28.47
317,Producto 288,Deportes,Descripción del producto 317,944.57,263,10.42,Proveedor C,2021-04-18,8.67
318,Producto 374,Electrónica,Descripción del producto 318,857.74,370,24.61,Proveedor D,2020-11-10,46.87
319,Producto 419,Hogar,Descripción del producto 319,759.39,458,27.43,Proveedor A,2023-07-10,37.93
320,Producto 249,Deportes,Descripción del producto 320,642.88,87,4.69,Proveedor C,2021-07-16,36.05
321,Producto 479,Deportes,Descripción del producto 321,78.45,153,49.54,Proveedor D,2021-05-13,35.33
322,Producto 9,Electrónica,Descripción del producto 322,424.12,415,8.38,Proveedor B,2023-11-15,22.13
323,Producto 154,Moda,Descripción del producto 323,323.12,88,1.64,Proveedor C,2022-11-28,15.77
324,Producto 166,Moda,Descripción del producto 324,153.59,454,5.24,Proveedor A,2021-04-07,15.83
325,Producto 170,Hogar,Descripción del producto 325,897.45,381,30.71,Proveedor A,2020-01-07,6.56
326,Producto 213,Hogar,Descripción del producto 326,123.48,432,10.79,Proveedor D,2020-09-25,30.09
327,Producto 437,Juguetería,Descripción del producto 327,14.2,134,20.62,Proveedor B,2021-12-07,28.92
328,Producto 116,Hogar,Descripción del producto 328,12.64,232,26.67,Proveedor B,2023-03-28,10.31
329,Producto 356,Electrónica,Descripción del producto 329,289.51,290,12.48,Proveedor A,2021-11-11,15.41
330,Producto 252,Juguetería,Descripción del producto 330,564.91,83,23.75,Proveedor A,2020-01-22,15.97
331,Producto 468,Deportes,Descripción del producto 331,431.09,440,21.71,Proveedor C,2022-07-04,45.4
332,Producto 317,Juguetería,Descripción del producto 332,272.96,136,13.13,Proveedor C,2020-03-14,41.58
333,Producto 381,Electrónica,Descripción del producto 333,114.58,212,26.44,Proveedor B,2020-11-25,13.88
334,Producto 79,Hogar,Descripción del producto 334,373.24,7,30.17,Proveedor C,2021-01-23,46.61
335,Producto 125,Hogar,Descripción del producto 335,769.33,47,48.41,Proveedor D,2020-06-09,36.22
336,Producto 185,Moda,Descripción del producto 336,111.2,394,4.8,Proveedor C,2023-03-07,37.02
337,Producto 361,Juguetería,Descripción del producto 337,368.7,318,19.28,Proveedor D,2024-10-19,23.71
338,Producto 336,Hogar,Descripción del producto 338,594.52,9,7.37,Proveedor A,2024-10-21,32.6
339,Producto 238,Juguetería,Descripción del producto 339,690.43,270,40.97,Proveedor C,2022-06-06,8.85
340,Producto 22,Moda,Descripción del producto 340,792.16,232,4.39,Proveedor D,2023-03-18,23.31
341,Producto 53,Juguetería,Descripción del producto 341,546.6,184,28.36,Proveedor D,2024-04-07,40.64
342,Producto 337,Moda,Descripción del producto 342,947.82,91,36.82,Proveedor D,2022-07-09,20.95
343,Producto 269,Moda,Descripción del producto 343,978.53,90,28.32,Proveedor C,2024-02-02,8.66
344,Producto 419,Deportes,Descripción del producto 344,982.96,497,22.92,Proveedor C,2021-06-18,6.7
345,Producto 472,Moda,Descripción del producto 345,88.39,299,9.7,Proveedor C,2022-04-05,13.79
346,Producto 318,Hogar,Descripción del producto 346,69.8,173,49.32,Proveedor C,2022-01-23,47.32
347,Producto 145,Moda,Descripción del producto 347,196.75,32,35.22,Proveedor B,2022-10-11,31.55
348,Producto 78,Deportes,Descripción del producto 348,872.47,57,37.38,Proveedor B,2024-04-24,37.2
349,Producto 232,Juguetería,Descripción del producto 349,618.7,192,11.23,Proveedor B,2022-03-17,30.73
350,Producto 228,Deportes,Descripción del producto 350,462.19,358,48.82,Proveedor A,2023-01-04,18.05
351,Producto 420,Electrónica,Descripción del producto 351,60.97,62,46.52,Proveedor C,2023-10-03,43.92
352,Producto 477,Deportes,Descripción del producto 352,716.54,44,49.09,Proveedor D,2023-05-22,15.18
353,Producto 403,Deportes,Descripción del producto 353,958.48,265,47.36,Proveedor A,2021-02-03,10.92
354,Producto 276,Electrónica,Descripción del producto 354,895.03,161,9.09,Proveedor C,2022-05-19,46.72
355,Producto 132,Deportes,Descripción del producto 355,634.15,160,35.95,Proveedor B,2021-04-28,9.45
356,Producto 188,Electrónica,Descripción del producto 356,698.08,372,49.18,Proveedor D,2021-10-09,37.63
357,Producto 238,Electrónica,Descripción del producto 357,242.51,103,28.94,Proveedor A,2020-06-01,45.92
358,Producto 13,Moda,Descripción del producto 358,780.7,6,29.48,Proveedor B,2020-04-08,39.51
359,Producto 463,Juguetería,Descripción del producto 359,91.75,56,35.83,Proveedor D,2023-03-06,9.74
360,Producto 46,Juguetería,Descripción del producto 360,216.61,63,28.96,Proveedor D,2021-04-14,3.12
361,Producto 229,Deportes,Descripción del producto 361,536.68,65,29.23,Proveedor C,2021-07-05,28.76
362,Producto 56,Electrónica,Descripción del producto 362,235.83,388,26.38,Proveedor D,2023-12-23,36.53
363,Producto 363,Hogar,Descripción del producto 363,475.11,455,25.63,Proveedor B,2020-03-09,44.11
364,Producto 392,Moda,Descripción del producto 364,955.18,435,37.2,Proveedor D,2021-08-26,20.6
365,Producto 223,Moda,Descripción del producto 365,686.97,116,42.01,Proveedor D,2023-08-18,12.94
366,Producto 267,Electrónica,Descripción del producto 366,307.45,29,42.88,Proveedor A,2023-08-18,37.16
367,Producto 327,Juguetería,Descripción del producto 367,987.41,417,20.5,Proveedor B,2022-10-04,31.15
368,Producto 78,Hogar,Descripción del producto 368,856.65,459,46.69,Proveedor D,2020-07-02,13.81
369,Producto 447,Moda,Descripción del producto 369,370.67,435,9.27,Proveedor C,2020-06-19,48.71
370,Producto 83,Juguetería,Descripción del producto 370,644.16,131,38.84,Proveedor A,2021-03-11,19.79
371,Producto 348,Hogar,Descripción del producto 371,480.57,493,36.34,Proveedor C,2024-05-03,20.56
372,Producto 443,Juguetería,Descripción del producto 372,629.37,181,33.5,Proveedor A,2022-05-14,12.97
373,Producto 33,Deportes,Descripción del producto 373,480.26,92,27.62,Proveedor A,2022-09-23,9.34
374,Producto 279,Juguetería,Descripción del producto 374,690.77,353,15.38,Proveedor A,2020-06-01,42.75
375,Producto 423,Juguetería,Descripción del producto 375,625.14,181,47.24,Proveedor C,2022-05-18,36.35
376,Producto 265,Juguetería,Descripción del producto 376,209.28,3,15.62,Proveedor B,2022-12-03,37.67
377,Producto 118,Juguetería,Descripción del producto 377,294.55,284,7.14,Proveedor D,2023-11-12,12.79
378,Producto 197,Moda,Descripción del producto 378,218.34,112,47.34,Proveedor D,2020-08-15,8.34
379,Producto 86,Moda,Descripción del producto 379,963.24,402,13.59,Proveedor B,2022-11-24,29.34
380,Producto 32,Deportes,Descripción del producto 380,980.18,467,7.61,Proveedor D,2023-08-11,21.77
381,Producto 359,Moda,Descripción del producto 381,678.99,158,41.54,Proveedor D,2023-12-03,14.33
382,Producto 435,Juguetería,Descripción del producto 382,478.22,225,43.91,Proveedor C,2024-06-08,31.15
383,Producto 90,Electrónica,Descripción del producto 383,973.0,340,17.8,Proveedor A,2020-10-10,4.75
384,Producto 379,Deportes,Descripción del producto 384,202.47,289,25.98,Proveedor B,2020-04-11,33.42
385,Producto 113,Hogar,Descripción del producto 385,866.14,401,6.53,Proveedor A,2022-02-22,13.1
386,Producto 237,Electrónica,Descripción del producto 386,131.15,494,25.16,Proveedor C,2024-07-09,49.74
387,Producto 287,Electrónica,Descripción del producto 387,100.23,412,9.26,Proveedor B,2022-05-28,31.43
388,Producto 60,Deportes,Descripción del producto 388,186.75,57,6.85,Proveedor B,2024-01-28,39.56
389,Producto 471,Electrónica,Descripción del producto 389,847.76,443,15.59,Proveedor A,2024-09-16,5.59
390,Producto 132,Hogar,Descripción del producto 390,228.52,61,37.1,Proveedor B,2021-12-27,7.24
391,Producto 496,Deportes,Descripción del producto 391,736.53,1,27.38,Proveedor D,2023-05-13,16.28
392,Producto 266,Electrónica,Descripción del producto 392,304.09,479,12.88,Proveedor D,2022-09-12,37.56
393,Producto 397,Electrónica,Descripción del producto 393,523.66,460,41.88,Proveedor C,2023-06-04,49.19
394,Producto 16,Electrónica,Descripción del producto 394,79.38,326,48.8,Proveedor B,2020-04-07,33.88
395,Producto 22,Moda,Descripción del producto 395,28.01,209,41.92,Proveedor B,2022-06-03,28.96
396,Producto 104,Deportes,Descripción del producto 396,290.93,94,23.08,Proveedor D,2024-02-09,11.8
397,Producto 283,Juguetería,Descripción del producto 397,29.25,5,32.48,Proveedor C,2020-04-05,8.4
398,Producto 13,Moda,Descripción del producto 398,102.33,124,35.65,Proveedor D,2020-03-21,47.84
399,Producto 185,Moda,Descripción del producto 399,235.53,114,29.76,Proveedor C,2021-02-08,25.03
400,Producto 343,Deportes,Descripción del producto 400,763.75,206,29.1,Proveedor C,2021-09-11,20.76
401,Producto 172,Electrónica,Descripción del producto 401,586.3,190,3.45,Proveedor A,2022-03-07,40.04
402,Producto 214,Moda,Descripción del producto 402,421.95,407,32.04,Proveedor B,2021-11-10,0.86
403,Producto 405,Moda,Descripción del producto 403,205.31,327,4.29,Proveedor A,2022-04-20,4.35
404,Producto 71,Electrónica,Descripción del producto 404,259.42,145,48.9,Proveedor B,2021-04-09,17.44
405,Producto 14,Electrónica,Descripción del producto 405,85.19,115,2.11,Proveedor B,2022-06-20,15.6
406,Producto 221,Electrónica,Descripción del producto 406,764.78,236,0.51,Proveedor A,2022-07-14,27.9
407,Producto 61,Deportes,Descripción del producto 407,20.89,389,26.11,Proveedor C,2023-03-06,2.46
408,Producto 350,Moda,Descripción del producto 408,592.74,277,34.15,Proveedor B,2020-08-10,4.1
409,Producto 180,Electrónica,Descripción del producto 409,641.39,331,33.54,Proveedor C,2024-11-23,45.06
410,Producto 172,Moda,Descripción del producto 410,26.03,58,46.93,Proveedor C,2024-11-24,26.88
411,Producto 349,Juguetería,Descripción del producto 411,834.99,491,14.56,Proveedor D,2020-12-26,21.67
412,Producto 380,Hogar,Descripción del producto 412,227.1,451,7.0,Proveedor D,2024-03-15,25.99
413,Producto 38,Electrónica,Descripción del producto 413,506.46,349,34.91,Proveedor D,2024-11-11,11.42
414,Producto 335,Hogar,Descripción del producto 414,24.31,386,14.18,Proveedor D,2020-06-05,16.29
415,Producto 279,Juguetería,Descripción del producto 415,522.25,187,44.82,Proveedor A,2020-05-19,21.45
416,Producto 291,Moda,Descripción del producto 416,563.05,361,40.06,Proveedor A,2022-12-12,31.4
417,Producto 465,Deportes,Descripción del producto 417,420.79,196,4.69,Proveedor D,2023-03-09,42.73
418,Producto 302,Electrónica,Descripción del producto 418,685.76,281,17.69,Proveedor D,2022-09-22,8.32
419,Producto 422,Deportes,Descripción del producto 419,679.61,180,20.99,Proveedor B,2020-05-26,11.05
420,Producto 259,Moda,Descripción del producto 420,416.96,351,34.36,Proveedor D,2020-03-21,39.09
421,Producto 178,Hogar,Descripción del producto 421,423.58,197,36.18,Proveedor C,2022-12-19,25.91
422,Producto 495,Electrónica,Descripción del producto 422,59.68,123,32.11,Proveedor C,2022-05-21,21.49
423,Producto 196,Electrónica,Descripción del producto 423,894.88,306,38.39,Proveedor B,2020-11-05,12.83
424,Producto 325,Moda,Descripción del producto 424,255.12,73,32.23,Proveedor D,2020-09-23,42.19
425,Producto 168,Juguetería,Descripción del producto 425,554.28,16,42.9,Proveedor C,2024-07-03,32.86
426,Producto 211,Electrónica,Descripción del producto 426,215.91,76,13.65,Proveedor B,2023-10-27,39.38
427,Producto 489,Hogar,Descripción del producto 427,323.2,324,38.61,Proveedor B,2021-04-03,31.3
428,Producto 3,Juguetería,Descripción del producto 428,787.9,423,46.69,Proveedor B,2024-12-14,5.87
429,Producto 107,Juguetería,Descripción del producto 429,750.25,114,20.06,Proveedor C,2021-04-24,30.91
430,Producto 150,Deportes,Descripción del producto 430,982.52,183,12.44,Proveedor A,2021-08-24,16.53
431,Producto 144,Deportes,Descripción del producto 431,207.83,340,43.47,Proveedor A,2022-03-14,20.24
432,Producto 201,Juguetería,Descripción del producto 432,299.32,167,6.42,Proveedor D,2022-05-04,26.46
433,Producto 209,Electrónica,Descripción del producto 433,208.68,147,41.72,Proveedor D,2023-01-04,7.13
434,Producto 175,Moda,Descripción del producto 434,963.86,374,22.43,Proveedor D,2023-12-26,21.52
435,Producto 459,Juguetería,Descripción del producto 435,497.09,183,13.85,Proveedor B,2022-07-23,22.58
436,Producto 218,Electrónica,Descripción del producto 436,418.48,189,15.97,Proveedor D,2020-01-13,21.42
437,Producto 48,Hogar,Descripción del producto 437,82.46,448,43.19,Proveedor A,2023-11-15,33.42
438,Producto 430,Hogar,Descripción del producto 438,681.16,186,8.35,Proveedor B,2022-07-06,29.84
439,Producto 423,Deportes,Descripción del producto 439,441.54,412,7.3,Proveedor C,2023-04-17,19.65
440,Producto 325,Juguetería,Descripción del producto 440,827.92,434,43.53,Proveedor C,2020-11-12,11.42
441,Producto 478,Deportes,Descripción del producto 441,698.78,494,30.51,Proveedor D,2023-09-07,12.0
442,Producto 61,Moda,Descripción del producto 442,575.96,448,45.25,Proveedor A,2020-03-23,4.57
443,Producto 175,Electrónica,Descripción del producto 443,335.03,460,44.56,Proveedor A,2021-06-21,0.04
444,Producto 423,Deportes,Descripción del producto 444,747.08,32,14.95,Proveedor A,2023-05-04,42.24
445,Producto 499,Electrónica,Descripción del producto 445,103.19,443,31.81,Proveedor C,2022-07-16,13.94
446,Producto 21,Deportes,Descripción del producto 446,310.39,98,8.75,Proveedor B,2023-11-13,24.31
447,Producto 255,Hogar,Descripción del producto 447,515.54,253,24.2,Proveedor D,2023-02-17,23.79
448,Producto 471,Moda,Descripción del producto 448,644.99,212,36.39,Proveedor B,2021-10-24,9.8
449,Producto 167,Juguetería,Descripción del producto 449,126.41,481,29.43,Proveedor D,2021-11-07,33.9
450,Producto 105,Deportes,Descripción del producto 450,930.32,453,10.49,Proveedor A,2020-09-03,0.07
451,Producto 47,Juguetería,Descripción del producto 451,67.08,397,7.71,Proveedor B,2021-02-06,28.57
452,Producto 406,Electrónica,Descripción del producto 452,993.41,467,19.27,Proveedor B,2024-12-18,12.97
453,Producto 368,Deportes,Descripción del producto 453,724.94,280,16.71,Proveedor A,2022-11-01,40.36
454,Producto 117,Deportes,Descripción del producto 454,299.7,72,17.27,Proveedor D,2022-03-24,5.46
455,Producto 26,Moda,Descripción del producto 455,351.18,288,32.42,Proveedor A,2023-03-16,28.05
456,Producto 264,Juguetería,Descripción del producto 456,27.02,92,44.74,Proveedor B,2020-10-25,35.5
457,Producto 41,Hogar,Descripción del producto 457,831.68,162,12.67,Proveedor C,2022-11-12,5.23
458,Producto 346,Electrónica,Descripción del producto 458,943.4,20,22.23,Proveedor C,2020-10-08,33.79
459,Producto 382,Electrónica,Descripción del producto 459,945.85,80,13.43,Proveedor D,2022-02-05,37.16
460,Producto 414,Electrónica,Descripción del producto 460,41.63,218,13.83,Proveedor B,2020-02-14,25.78
461,Producto 409,Deportes,Descripción del producto 461,595.53,459,10.17,Proveedor D,2024-10-27,14.52
462,Producto 169,Hogar,Descripción del producto 462,576.69,453,3.17,Proveedor D,2020-09-08,48.84
463,Producto 342,Electrónica,Descripción del producto 463,851.1,380,21.16,Proveedor C,2023-03-22,41.65
464,Producto 241,Hogar,Descripción del producto 464,592.28,116,34.53,Proveedor B,2023-07-06,32.38
465,Producto 351,Juguetería,Descripción del producto 465,247.32,309,14.76,Proveedor C,2021-07-12,17.22
466,Producto 185,Electrónica,Descripción del producto 466,352.68,355,22.84,Proveedor A,2023-01-24,34.13
467,Producto 100,Juguetería,Descripción del producto 467,448.16,243,1.17,Proveedor C,2021-03-23,8.48
468,Producto 349,Moda,Descripción del producto 468,394.38,46,26.03,Proveedor B,2021-10-23,9.24
469,Producto 100,Hogar,Descripción del producto 469,230.87,212,48.77,Proveedor B,2020-08-27,31.28
470,Producto 352,Electrónica,Descripción del producto 470,240.02,24,22.38,Proveedor A,2021-04-25,10.07
471,Producto 282,Electrónica,Descripción del producto 471,646.16,23,33.78,Proveedor C,2024-03-17,11.89
472,Producto 42,Juguetería,Descripción del producto 472,875.24,348,48.17,Proveedor C,2020-12-07,7.92
473,Producto 197,Deportes,Descripción del producto 473,28.24,150,48.34,Proveedor C,2022-07-14,0.11
474,Producto 392,Deportes,Descripción del producto 474,979.11,198,33.59,Proveedor C,2023-05-28,8.06
475,Producto 391,Deportes,Descripción del producto 475,143.55,497,20.06,Proveedor B,2022-12-11,2.17
476,Producto 134,Deportes,Descripción del producto 476,320.17,150,13.4,Proveedor A,2022-02-16,19.85
477,Producto 5,Electrónica,Descripción del producto 477,555.2,394,10.47,Proveedor C,2020-05-16,35.87
478,Producto 340,Deportes,Descripción del producto 478,43.4,33,7.51,Proveedor C,2022-12-10,32.56
479,Producto 87,Electrónica,Descripción del producto 479,355.56,364,8.82,Proveedor B,2024-07-22,17.88
480,Producto 208,Juguetería,Descripción del producto 480,109.77,423,9.27,Proveedor A,2024-04-25,2.96
481,Producto 446,Moda,Descripción del producto 481,602.23,433,44.65,Proveedor B,2022-12-05,21.22
482,Producto 181,Juguetería,Descripción del producto 482,503.24,264,30.17,Proveedor A,2024-11-19,49.06
483,Producto 3,Electrónica,Descripción del producto 483,504.31,202,30.67,Proveedor B,2023-10-12,19.4
484,Producto 113,Juguetería,Descripción del producto 484,588.46,414,31.4,Proveedor A,2023-08-22,34.48
485,Producto 346,Electrónica,Descripción del producto 485,686.3,397,13.56,Proveedor C,2021-05-10,29.12
486,Producto 254,Juguetería,Descripción del producto 486,245.87,468,20.44,Proveedor B,2021-05-14,40.14
487,Producto 174,Electrónica,Descripción del producto 487,12.17,198,42.6,Proveedor B,2022-01-02,5.67
488,Producto 135,Moda,Descripción del producto 488,599.31,486,43.81,Proveedor A,2024-09-20,7.12
489,Producto 435,Moda,Descripción del producto 489,993.5,374,42.36,Proveedor B,2023-03-06,36.42
490,Producto 302,Hogar,Descripción del producto 490,182.95,165,35.8,Proveedor D,2022-07-21,25.7
491,Producto 484,Deportes,Descripción del producto 491,401.08,441,17.81,Proveedor B,2024-06-17,24.29
492,Producto 479,Electrónica,Descripción del producto 492,538.54,70,3.56,Proveedor C,2021-02-07,9.23
493,Producto 178,Hogar,Descripción del producto 493,110.95,215,3.02,Proveedor A,2022-03-02,18.52
494,Producto 106,Moda,Descripción del producto 494,123.24,49,16.26,Proveedor D,2023-01-28,11.11
495,Producto 335,Electrónica,Descripción del producto 495,804.05,295,39.15,Proveedor C,2021-11-02,32.92
496,Producto 444,Hogar,Descripción del producto 496,565.36,456,48.41,Proveedor A,2020-10-22,22.27
497,Producto 211,Deportes,Descripción del producto 497,285.98,342,26.68,Proveedor D,2021-07-25,0.86
498,Producto 275,Juguetería,Descripción del producto 498,55.14,134,21.56,Proveedor A,2020-08-06,48.23
499,Producto 9,Electrónica,Descripción del producto 499,26.01,279,15.82,Proveedor B,2021-02-03,1.75
500,Producto 481,Deportes,Descripción del producto 500,234.48,7,25.55,Proveedor B,2024-02-23,5.27
